,Institution Name,18-19,17-18,16-17,15-16,14-15,13-14,12-13,11-12,10-11,09-10
65,Rowan University,45.0,40.0,39.0,42.0,41.0,52.0,44.0,38.0,34.0,27.0
66,Rutgers University-Camden,92.0,73.0,78.0,61.0,69.0,67.0,47.0,53.0,35.0,18.0
67,Rutgers University-New Brunswick,40.0,42.0,46.0,46.0,45.0,47.0,49.0,48.0,45.0,25.0
68,Rutgers University-Newark,35.0,39.0,42.0,41.0,41.0,43.0,35.0,33.0,35.0,18.0
69,San Diego State University,20.0,20.0,21.0,23.0,23.0,27.0,29.0,26.0,25.0,25.0
70,South Dakota State University,53.0,52.0,53.0,57.0,55.0,53.0,54.0,54.0,50.0,53.0
71,Southern Illinois University-Carbondale,83.0,78.0,74.0,74.0,79.0,79.0,44.0,40.0,28.0,31.0
72,Stony Brook University,69.0,68.0,70.0,66.0,63.0,67.0,54.0,52.0,36.0,28.0
73,SUNY at Albany,65.0,64.0,59.0,61.0,58.0,57.0,56.0,53.0,15.0,19.0
74,SUNY College of Environmental Science and Forestry,87.0,88.0,84.0,81.0,81.0,81.0,82.0,82.0,74.0,55.0
75,Temple University,79.0,80.0,82.0,83.0,82.0,76.0,73.0,69.0,67.0,38.0
76,Tennessee State University,40.0,34.0,39.0,32.0,35.0,30.0,27.0,32.0,32.0,33.0
77,Tennessee Technological University,48.0,47.0,53.0,53.0,43.0,31.0,30.0,31.0,27.0,34.0
78,Texas A & M University-College Station,55.0,54.0,48.0,54.0,55.0,54.0,58.0,51.0,52.0,56.0
79,Texas A & M University-Corpus Christi,10.0,6.0,4.0,5.0,14.0,9.0,11.0,9.0,11.0,9.0
80,Texas A & M University-Kingsville,41.0,50.0,61.0,44.0,36.0,36.0,65.0,68.0,38.0,71.0
81,Texas Southern University,31.0,26.0,33.0,39.0,34.0,27.0,20.0,21.0,21.0,26.0
82,Texas State University,12.0,13.0,12.0,12.0,10.0,8.0,6.0,5.0,15.0,14.0
83,Texas Tech University,52.0,46.0,44.0,43.0,35.0,39.0,41.0,31.0,33.0,31.0
84,The Pennsylvania State University,,,,,,,,,,
85,The University of Alabama,56.0,57.0,57.0,56.0,55.0,53.0,50.0,47.0,46.0,44.0
86,The University of Montana,55.0,49.0,48.0,52.0,53.0,67.0,61.0,51.0,39.0,45.0
87,The University of Tennessee-Knoxville,54.0,53.0,48.0,47.0,47.0,53.0,57.0,59.0,67.0,62.0
88,The University of Texas at Arlington,62.0,68.0,54.0,48.0,51.0,42.0,42.0,43.0,50.0,47.0
89,The University of Texas at Austin,39.0,34.0,32.0,36.0,43.0,39.0,43.0,39.0,46.0,48.0
90,The University of Texas at Dallas,67.0,64.0,61.0,62.0,71.0,69.0,72.0,70.0,73.0,62.0
91,The University of Texas at El Paso,33.0,18.0,27.0,27.0,38.0,35.0,32.0,42.0,37.0,54.0
92,The University of Texas at San Antonio,39.0,53.0,48.0,56.0,36.0,29.0,62.0,63.0,53.0,31.0
93,The University of Texas Rio Grande Valley,47.0,39.0,45.0,42.0,46.0,38.0,36.0,46.0,36.0,42.0
94,University at Buffalo,69.0,65.0,65.0,60.0,57.0,61.0,27.0,29.0,36.0,34.0
95,University of Akron Main Campus,76.0,68.0,64.0,62.0,61.0,47.0,43.0,39.0,36.0,37.0
96,University of Alabama at Birmingham,78.0,77.0,74.0,77.0,72.0,66.0,60.0,57.0,56.0,57.0
97,University of Alabama in Huntsville,83.0,82.0,75.0,76.0,74.0,66.0,63.0,65.0,71.0,66.0
98,University of Alaska Fairbanks,42.0,39.0,46.0,40.0,46.0,43.0,38.0,40.0,32.0,24.0
99,University of Arizona,87.0,84.0,83.0,74.0,73.0,77.0,72.0,72.0,71.0,68.0
100,University of Arkansas,39.0,44.0,41.0,37.0,41.0,38.0,35.0,33.0,36.0,39.0
101,University of Arkansas at Little Rock,46.0,51.0,53.0,48.0,56.0,50.0,46.0,40.0,43.0,43.0
102,University of California-Berkeley,51.0,48.0,47.0,53.0,56.0,53.0,58.0,52.0,53.0,54.0
103,University of California-Davis,56.0,57.0,60.0,61.0,64.0,65.0,67.0,72.0,67.0,62.0
104,University of California-Irvine,45.0,52.0,51.0,54.0,56.0,58.0,65.0,60.0,55.0,46.0
105,University of California-Los Angeles,46.0,50.0,52.0,52.0,50.0,53.0,51.0,57.0,58.0,54.0
106,University of California-Merced,80.0,81.0,82.0,77.0,77.0,79.0,73.0,72.0,76.0,70.0
107,University of California-Riverside,67.0,70.0,70.0,69.0,83.0,71.0,76.0,75.0,73.0,66.0
108,University of California-San Diego,46.0,49.0,44.0,44.0,49.0,53.0,51.0,67.0,61.0,62.0
109,University of California-Santa Barbara,52.0,50.0,52.0,60.0,60.0,57.0,62.0,59.0,55.0,52.0
110,University of California-Santa Cruz,57.0,60.0,59.0,66.0,68.0,69.0,71.0,64.0,62.0,52.0
111,University of Central Florida,52.0,42.0,41.0,43.0,45.0,44.0,45.0,41.0,36.0,38.0
112,University of Cincinnati-Main Campus,56.0,54.0,54.0,58.0,54.0,54.0,53.0,49.0,53.0,51.0
113,University of Colorado Boulder,51.0,48.0,49.0,50.0,47.0,45.0,39.0,39.0,37.0,66.0
114,University of Colorado Colorado Springs,52.0,56.0,53.0,46.0,42.0,28.0,37.0,35.0,42.0,42.0
115,University of Colorado Denver/Anschutz Medical Campus,66.0,51.0,50.0,45.0,37.0,48.0,50.0,52.0,42.0,46.0
116,University of Connecticut,61.0,59.0,61.0,56.0,64.0,64.0,62.0,61.0,60.0,57.0
117,University of Delaware,72.0,70.0,65.0,67.0,67.0,54.0,51.0,55.0,36.0,32.0
