,Institution Name,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
38,Louisiana State University and Agricultural & Mechanical College,41.0,39.0,38.0,39.0,38.0,37.0,38.0,34.0,29.0,26.0,26.0,26.0,25.0,24.0,24.0,24.0
39,Louisiana Tech University,40.0,35.0,32.0,34.0,32.0,30.0,29.0,27.0,28.0,27.0,26.0,27.0,28.0,28.0,28.0,29.0
40,Marshall University,27.0,27.0,29.0,26.0,24.0,25.0,23.0,23.0,21.0,24.0,21.0,20.0,16.0,17.0,17.0,14.0
41,Miami University-Oxford,71.0,68.0,67.0,66.0,65.0,66.0,68.0,68.0,70.0,68.0,71.0,68.0,67.0,68.0,66.0,65.0
42,Michigan State University,56.0,53.0,52.0,52.0,51.0,53.0,50.0,53.0,48.0,48.0,49.0,47.0,44.0,44.0,41.0,36.0
43,Michigan Technological University,30.0,31.0,28.0,28.0,23.0,25.0,24.0,29.0,26.0,28.0,22.0,26.0,24.0,26.0,23.0,28.0
44,Mississippi State University,35.0,31.0,30.0,32.0,31.0,30.0,31.0,30.0,30.0,28.0,31.0,27.0,26.0,27.0,25.0,26.0
45,Missouri University of Science and Technology,24.0,23.0,22.0,22.0,24.0,24.0,25.0,28.0,26.0,25.0,25.0,22.0,21.0,21.0,16.0,15.0
46,Montana State University,27.0,25.0,24.0,24.0,22.0,20.0,20.0,20.0,21.0,17.0,19.0,16.0,17.0,19.0,19.0,16.0
47,Montclair State University,45.0,47.0,42.0,39.0,36.0,36.0,34.0,35.0,34.0,31.0,30.0,28.0,27.0,27.0,23.0,23.0
48,Morgan State University,17.0,13.0,13.0,10.0,10.0,12.0,11.0,12.0,12.0,11.0,11.0,11.0,15.0,18.0,18.0,15.0
49,New Jersey Institute of Technology,37.0,29.0,28.0,25.0,24.0,24.0,23.0,19.0,17.0,16.0,17.0,16.0,14.0,19.0,18.0,17.0
50,New Mexico State University-Main Campus,22.0,19.0,18.0,17.0,13.0,16.0,16.0,14.0,15.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0
51,North Carolina A & T State University,25.0,26.0,17.0,18.0,20.0,21.0,16.0,16.0,16.0,15.0,18.0,15.0,20.0,19.0,23.0,24.0
52,North Carolina State University at Raleigh,57.0,54.0,50.0,48.0,44.0,44.0,41.0,39.0,41.0,41.0,42.0,38.0,37.0,37.0,36.0,30.0
53,North Dakota State University-Main Campus,35.0,32.0,32.0,27.0,27.0,25.0,26.0,24.0,23.0,23.0,22.0,19.0,14.0,18.0,20.0,15.0
54,Northern Arizona University,41.0,37.0,40.0,36.0,33.0,33.0,30.0,30.0,31.0,29.0,30.0,32.0,28.0,27.0,26.0,27.0
55,Northern Illinois University,25.0,24.0,21.0,23.0,25.0,25.0,26.0,28.0,26.0,28.0,23.0,23.0,26.0,23.0,25.0,24.0
56,Oakland University,30.0,26.0,19.0,19.0,16.0,16.0,15.0,15.0,13.0,13.0,12.0,14.0,14.0,13.0,13.0,12.0
57,Ohio State University-Main Campus,62.0,59.0,59.0,59.0,59.0,61.0,59.0,53.0,51.0,49.0,48.0,42.0,40.0,39.0,35.0,31.0
58,Ohio University-Main Campus,45.0,45.0,44.0,46.0,48.0,49.0,48.0,44.0,44.0,46.0,48.0,51.0,48.0,47.0,46.0,44.0
